Week,Date ,Day,Topic,Platform,Joining Info,Time,Module,Mentor,Recording Status
,,,,,,,,,
Week 2,1/19/2026,Monday,How computers got intelligent,Google Meet,meet.google.com/njy-cnns-ifk,09:00 AM - 10:30 AM,Machine Learning,Dr. Sarabjot Singh,Updated
,,,Data Types and Operators - Part 2,Google Meet,meet.google.com/nwq-tpex-yjr,12:00 PM - 01:30 PM,Python,Anudeep Kaur,Updated
,,,The Basics of NLP ,Google Meet,meet.google.com/aqy-nqbh-mfw,03:00 PM - 04:00 PM,NLP,Akshay Kumar,Updated
,1/20/2026,Tuesday,Data Types and Control Structures,Google Meet,meet.google.com/rqq-dexo-iwq,01:15 PM - 02:45 PM,Python,Kuntal Das,Updated
,,,Admin Catchup Call,Google Meet,meet.google.com/mgc-rpqe-yzr,3:00 PM - 03:30 PM,-,Sabudh Admin,-
,1/21/2026,Wednesday,Representing Language Numerically,Google Meet,meet.google.com/uxn-upxs-ivp,11:00 PM - 12:00 PM,NLP,Akshay Kumar,Updated
,,,Introduction to Machine Learning,Google Meet,meet.google.com/whv-ptxa-sff,04:00 PM - 05:30 PM,Machine Learning,Dr. Shafila Bansal,
,1/22/2026,Thursday,Descriptive Statistics and Probability Concepts,Google Meet,meet.google.com/gsa-qqih-tsg,04:00 PM - 05:30 PM,Machine Learning,Dr. Shafila Bansal,
,1/23/2026,Friday,Text Vectorization Techniques,Google Meet,meet.google.com/iiu-nkyc-fwi,03:00 PM - 04:00 PM,NLP,Akshay Kumar,
